Plant_spp,Stalk_length (mm),stdev,stderr,,,,,,
Birch,1.2,12.20503994,,,,,,,
Birch,16.6,,,,,,,,"Dividing the standard deviation by the square root of the number of items in the deviation calculation provides your standard error, "
Birch,30.6,,,,,,,,
Birch,2.9,,,,,,,,
Birch,6.5,,,,,,,,
Elm,3.3,4.519021846,,,,,,,
Elm,6,,,,,,,,
Elm,8.3,,,,,,,,
Elm,11.4,,,,,,,,
Elm,8.4,,,,,,,,
Elm,7.8,,,,,,,,
Elm,8.4,,,,,,,,
Elm,11.5,,,,,,,,
Elm,5.4,,,,,,,,
Elm,13.8,,,,,,,,
Elm,1.8,,,,,,,,
Elm,8.4,,,,,,,,
Elm,7.1,,,,,,,,
Elm,5.1,,,,,,,,
Elm,14.7,,,,,,,,
Elm,1.8,,,,,,,,
Elm,17.8,,,,,,,,
Elm,16,,,,,,,,
Elm,14.1,,,,,,,,
Elm,6.2,,,,,,,,
Elm,9.5,,,,,,,,
Elm,4.2,,,,,,,,
Maple,16.6,5.052394844,,,,,,,
Maple,9.9,,,,,,,,
Maple,1.8,,,,,,,,
Maple,7.9,,,,,,,,
Maple,3.5,,,,,,,,
Maple,5.5,,,,,,,,
Maple,11.7,,,,,,,,
Maple,3.2,,,,,,,,
Maple,15.9,,,,,,,,
Maple,1.5,,,,,,,,
Maple,15.4,,,,,,,,
Maple,7.3,,,,,,,,
Maple,15.8,,,,,,,,
Maple,3.7,,,,,,,,
Maple,20.1,,,,,,,,
Maple,22.6,,,,,,,,
Maple,6.8,,,,,,,,
Maple,8.8,,,,,,,,
Maple,9.4,,,,,,,,
Maple,7.6,,,,,,,,
Maple,8.2,,,,,,,,
Maple,5.9,,,,,,,,
Maple,6.8,,,,,,,,
Maple,6,,,,,,,,
Maple,6,,,,,,,,
Maple,7.5,,,,,,,,
Maple,2.4,,,,,,,,
Maple,12.8,,,,,,,,
Maple,4.8,,,,,,,,
Maple,2.6,,,,,,,,
Maple,9.7,,,,,,,,
Maple,7.6,,,,,,,,
Maple,4.2,,,,,,,,
Maple,5.6,,,,,,,,
Maple,4.8,,,,,,,,
Maple,1.9,,,,,,,,
Maple,5.4,,,,,,,,
Maple,8.1,,,,,,,,
Maple,9.6,,,,,,,,
Other,0.6,2.450843716,,,,,,,
Other,1.3,,,,,,,,
Other,0.3,,,,,,,,
Other,1.5,,,,,,,,
Other,1.3,,,,,,,,
Other,3.4,,,,,,,,
Other,2.8,,,,,,,,
Other,1.1,,,,,,,,
Other,1.4,,,,,,,,
Other,3.2,,,,,,,,
Other,4.1,,,,,,,,
Other,0.3,,,,,,,,
Other,5,,,,,,,,
Other,1,,,,,,,,
Other,2.6,,,,,,,,
Other,0.7,,,,,,,,
Other,2.4,,,,,,,,
Other,6.8,,,,,,,,
Other,4.1,,,,,,,,
Other,6,,,,,,,,
Other,5.3,,,,,,,,
Other,1.2,,,,,,,,
Other,7.1,,,,,,,,
Other,8.3,,,,,,,,
Other,3.4,,,,,,,,
Other,10.1,,,,,,,,
Other,7.3,,,,,,,,
Other,1.8,,,,,,,,
Other,4.5,,,,,,,,
Other,4,,,,,,,,
Other,5.7,,,,,,,,
Other,3.1,,,,,,,,
Other,3.6,,,,,,,,
Other,3.3,,,,,,,,
Other,6.2,,,,,,,,
Other,2.2,,,,,,,,
Spicebush,3.9,1.22911646,,,,,,,
Spicebush,2.6,,,,,,,,
Spicebush,1.3,,,,,,,,
Spicebush,0.5,,,,,,,,
Spicebush,0.5,,,,,,,,
Spicebush,0.4,,,,,,,,
Spicebush,2.1,,,,,,,,
Spicebush,2.2,,,,,,,,
Spicebush,3.4,,,,,,,,
Spicebush,0.5,,,,,,,,
Spicebush,1.8,,,,,,,,
